# entries=575503 taxon=9606 taxon_entries=20431
database	id_type	n_proteins	n_distinct_terms	proteins_per_term	example
MoonDB	Curated	47	47	1.00	P21399
MIM	gene+phenotype	45	45	1.00	100740
ExpressionAtlas	baseline	42	42	1.00	P0DTE8
YCharOS		36	36	1.00	Q14738
PCDDB		35	35	1.00	P01009
PCDDB	-	35	35	1.00	P01009
PDB	Other	29	46	0.63	9MBE
PeroxiBase		29	33	0.88	5282
CPTC	4 antibodies	27	27	1.00	Q13315
PAN-GO	13 GO annotations based on evolutionary models	20	20	1.00	Q15825
ExpressionAtlas	differential	17	17	1.00	P0CG12
PAN-GO	14 GO annotations based on evolutionary models	16	16	1.00	P02708
CPTC	6 antibodies	11	11	1.00	P31749
CPTC	5 antibodies	9	9	1.00	Q07912
PDB	Neutron	7	17	0.41	3KKX
PAN-GO	15 GO annotations based on evolutionary models	6	6	1.00	P11597
PAN-GO	16 GO annotations based on evolutionary models	6	6	1.00	P19022
STRENDA-DB		6	8	0.75	1XV0MK
CPTC	7 antibodies	4	4	1.00	Q9Y243
REBASE		4	5	0.80	4119
CPTC	10 antibodies	3	3	1.00	P0DN86
PAN-GO	17 GO annotations based on evolutionary models	3	3	1.00	P49841
CPTC	8 antibodies	2	2	1.00	P60484
CPTC	13 antibodies	1	1	1.00	P00533
CPTC	Previous GeneCards	1	1	1.00	Q9BRS8
PATRIC		1	1	1.00	fig|1028802.3.peg.20
PATRIC	-	1	1	1.00	fig|1028802.3.peg.20
PDB	IR	1	2	0.50	1DFW
REBASE	M.HsaDnmt1A	1	1	1.00	1161
REBASE	M.HsaDnmt1B	1	1	1.00	4240
REBASE	M.HsaDnmt3A	1	1	1.00	4119
REBASE	M.HsaDnmt3B	1	1	1.00	4120
REBASE	M.HsaDnmt3L	1	1	1.00	4636
RNAct	Protein	1	1	1.00	Q9HAT2
STRENDA-DB	Alpha-thrombin	1	1	1.00	OUYDF2
STRENDA-DB	Caspase-3	1	1	1.00	M9FKPY
STRENDA-DB	Human Myeloblastin: Kinetics with Four Synthethic Substrates	1	1	1.00	D9YPHC
STRENDA-DB	Human Neutrophil Elastase: Kinetics with Four Synthetic Substrates	1	1	1.00	5V5MWU
STRENDA-DB	Kinetic characterization of PYCR2 enzymes	1	1	1.00	FR1Z67
STRENDA-DB	Nonessential activation of myeloblastin by sulfated glycosaminoglycans	1	1	1.00	3JIILJ
STRENDA-DB	Procaspase-3	1	1	1.00	1XV0MK
STRENDA-DB	SIRT1 WT and variant activation by resveratrol and STAC1	1	1	1.00	NC2FY0
